company	name	id	attenuation	flocculation	opt_temperature	alc_tolerance
White Labs	German Bock Lager Yeast	WLP833	70-76%	Medium	48-55 °F	Med-High
White Labs	Southern German Lager Yeast	WLP838	68-76%	Med-High	50-55 °F	Medium
White Labs	American Lager Yeast	WLP840	75-80%	Medium	50-55 °F	Medium
White Labs	Cry Havoc	WLP862	66-70%	Med-Low	68-74 °F	Medium
White Labs	Zurich Lager Yeast	WLP885	70-80%	Medium	50-55 °F	Medium
White Labs	Mexican Lager Yeast	WLP940	70-78%	Medium	50-55 °F	Medium
White Labs	Hefeweizen Ale Yeast	WLP300	72-76%	Low	68-72 °F	Medium
White Labs	American Hefeweizen Ale Yeast	WLP320	70-75%	Low	65-69 °F	Medium
White Labs	Bavarian Weizen Yeast	WLP351	73-77%	Low	66-70 °F	Medium
White Labs	Hefeweizen IV Ale Yeast	WLP380	73-80%	Low	66-70 °F	Medium
White Labs	Belgian Wit Ale Yeast	WLP400	74-78%	Low-Med	67-74 °F	Medium
White Labs	Belgian Wit II Ale Yeast	WLP410	70-75%	Low-Med	67-74 °F	Medium
White Labs	Trappist Ale Yeast	WLP500	75-80%	Med-Low	65-72 °F	High
White Labs	Belgian Bastogne Ale Yeast	WLP510	74-80%	Medium	66-72 °F	High
White Labs	Antwerp Ale Yeast	WLP515	73-80%	Medium	67-70 °F	Medium
White Labs	Abbey Ale Yeast	WLP530	75-80%	Med-High	66-72 °F	High
White Labs	Abbey IV Ale Yeast	WLP540	74-82%	Medium	66-72 °F	High
White Labs	Belgian Ale Yeast	WLP550	78-85%	Medium	68-78 °F	Med-High
White Labs	Belgian Saison I Yeast	WLP565	65-75%	Medium	68-75 °F	Medium
White Labs	Belgian Saison II Yeast	WLP566	78-85%	Medium	68-78 °F	Medium
White Labs	Belgian Style Saison Blend	WLP568	70-80%	Medium	70-80 °F	Medium
White Labs	Belgian Golden Ale Yeast	WLP570	73-78%	Low	68-75 °F	High
White Labs	Belgian Style Ale Yeast Blend	WLP575	74-80%	Medium	68-75 °F	Med-High
White Labs	Champagne Yeast	WLP715	>75%	Low	70-75 °F	17%
White Labs	Sweet Mead/Wine Yeast	WLP720	<75%	Low	70-75 °F	15%
White Labs	English Cider Yeast	WLP775	>80%	Medium	68-75 °F	Med-High
Fermentis	Safale - English Ale Yeast	S-04	Medium	Medium	59-75 °F	Medium
Fermentis	Safale - American Ale Yeast	US-05	Medium	Medium	59-75 °F	Medium
Fermentis	Safale - American Ale Yeast	US-56	Medium	Medium	59-75 °F	Medium
Fermentis	Safale - German Ale Yeast	K-97	Medium	Medium	59-75 °F	Medium
Fermentis	Safbrew - Specialty Ale Yeast	T-58	Medium	Medium	59-75 °F	12%
Fermentis	Safbrew - General/Belgian Yeast	S-33	High	Medium	59-75 °F	12%
Fermentis	Safbrew - Wheat Beer Yeast	WB-06	Medium	Low	59-75 °F	Medium
Fermentis	Saflager - German Lager Yeast	S-23	Medium	High	48-59 °F	Medium
Fermentis	Saflager - German Lager Yeast	W-34/70	Medium	High	48-59 °F	Medium
Fermentis	Saflager - Swiss Lager Yeast	S-189	Medium	High	48-59 °F	Medium
Lallemand	Nottingham Ale Yeast		High	High	57-70 °F	Med-High
Lallemand	Windsor Ale Yeast		Medium	Medium	64-70 °F	Medium
Lallemand	Diamond Lager		High	High	50-59 °F	Medium
Lallemand	Munich Dry Wheat Yeast		Med-High	Medium	64-70 °F	Medium
Coopers	Coopers Ale		Medium	Medium	65-75 °F	Medium
Doric	Doric Ale		Medium-High	Medium	62-72 °F	Medium
Edme	Edme Ale		Med-High	Medium	62-70 °F	Medium
Munton and Fison	Munton and Fison		Medium	High	64-70 °F	Medium
